path_name,adj_p_val,overlapping_genes,-log10_pval,method,path_name_clean,n_sensors
cytokine-mediated signaling pathway (GO:0019221),1.5531822439515996e-18,"['CSF3', 'IFITM1', 'CXCL8', 'CEBPD', 'IL24', 'IFI6', 'CXCL1', 'IFIT1', 'CXCL3', 'PTGS2', 'CXCL2', 'IFIT3', 'CXCL5', 'SOCS3', 'UGCG', 'CCL8', 'CCL7', 'CCL2', 'IL1R1', 'MX1', 'LIF', 'ISG15', 'SOD2', 'BST2', 'NFKBIA', 'IL6', 'OAS2', 'IL1B', 'OAS3', 'IRF7']",17.80877758297142,foldChange,Cytokine-mediated signaling pathway ,30
cellular response to cytokine stimulus (GO:0071345),1.865903037053493e-10,"['CSF3', 'CXCL8', 'CEBPD', 'DUSP1', 'IL1R1', 'IL24', 'LIF', 'CXCL1', 'IFIT1', 'PTGS2', 'CXCL2', 'SOCS3', 'IL6', 'SFRP1', 'CCL8', 'CCL7', 'IL1B', 'ANKRD1', 'CCL2', 'CHI3L1']",9.729110928417358,foldChange,Cellular response to cytokine stimulus ,20
cellular response to type I interferon (GO:0071357),3.0684752724876816e-10,"['BST2', 'IFITM1', 'OAS2', 'OAS3', 'MX1', 'IRF7', 'IFI6', 'ISG15', 'IFIT1', 'IFIT3']",9.51307737215695,foldChange,Cellular response to type i interferon ,10
type I interferon signaling pathway (GO:0060337),3.0684752724876816e-10,"['BST2', 'IFITM1', 'OAS2', 'OAS3', 'MX1', 'IRF7', 'IFI6', 'ISG15', 'IFIT1', 'IFIT3']",9.51307737215695,foldChange,Type i interferon signaling pathway ,10
defense response to symbiont (GO:0140546),3.4746164918538614e-10,"['BST2', 'IL6', 'IFITM1', 'OAS2', 'OAS3', 'MX1', 'IFI6', 'IRF7', 'ISG15', 'IFIT1', 'IFI44L', 'IFIT3']",9.459093123350993,foldChange,Defense response to symbiont ,12
defense response to virus (GO:0051607),6.723294542443297e-10,"['BST2', 'IL6', 'IFITM1', 'OAS2', 'OAS3', 'MX1', 'IFI6', 'IRF7', 'ISG15', 'IFIT1', 'IFI44L', 'IFIT3']",9.172417862216083,foldChange,Defense response to virus ,12
chemokine-mediated signaling pathway (GO:0070098),1.6844080398151817e-09,"['CXCL8', 'RBM15', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",8.7735526943243,foldChange,Chemokine-mediated signaling pathway ,9
cellular response to molecule of bacterial origin (GO:0071219),2.2478470536679026e-09,"['IL6', 'CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",8.648233242038824,foldChange,Cellular response to molecule of bacterial origin ,11
cellular response to chemokine (GO:1990869),2.514812123997519e-09,"['CXCL8', 'CCL8', 'CCL7', 'DUSP1', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",8.599494454567862,foldChange,Cellular response to chemokine ,9
cellular response to lipopolysaccharide (GO:0071222),2.8740215786321435e-09,"['IL6', 'CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",8.541509975434332,foldChange,Cellular response to lipopolysaccharide ,11
cellular response to lipid (GO:0071396),8.891888604888752e-09,"['CXCL8', 'INSIG1', 'HMGB2', 'TNFAIP3', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5', 'IL6', 'SFRP1', 'IL1B', 'ANKRD1', 'CCL2']",8.051005986659638,foldChange,Cellular response to lipid ,13
response to lipopolysaccharide (GO:0032496),4.867749920793815e-08,"['IL6', 'CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",7.3126717416188605,foldChange,Response to lipopolysaccharide ,11
response to interleukin-1 (GO:0070555),4.867749920793815e-08,"['SFRP1', 'CXCL8', 'CCL8', 'CCL7', 'IL1R1', 'IL1B', 'ANKRD1', 'CHI3L1', 'CCL2']",7.3126717416188605,foldChange,Response to interleukin-1 ,9
cellular response to oxygen-containing compound (GO:1901701),7.84338824276346e-08,"['JUN', 'CXCL8', 'INSIG1', 'HMGB2', 'TNFAIP3', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5', 'IL6', 'SFRP1', 'IL1B', 'ANKRD1', 'CCL2']",7.105496287155324,foldChange,Cellular response to oxygen-containing compound ,14
