path_name,adj_p_val,overlapping_genes,-log10_pval,method,time_int,path_name_clean,n_sensors
cytokine-mediated signaling pathway (GO:0019221),5.070216080782964e-11,"['CSF3', 'CXCL8', 'CEBPD', 'IL1R1', 'IL24', 'LIF', 'ISG15', 'CXCL1', 'IFIT1', 'CXCL3', 'SOD2', 'PTGS2', 'CXCL2', 'IFIT3', 'NFKBIA', 'SOCS3', 'UGCG', 'CCL8', 'CCL7', 'IL1B', 'OAS3', 'CCL2', 'HMOX1']",10.294973531654438,foldChange,0,Cytokine-mediated signaling pathway ,23
cellular response to cytokine stimulus (GO:0071345),1.8378744506599855e-10,"['CSF3', 'CXCL8', 'CEBPD', 'DUSP1', 'IL1R1', 'IL24', 'LIF', 'CXCL1', 'IFIT1', 'PTGS2', 'CXCL2', 'SOCS3', 'SFRP1', 'CCL8', 'CCL7', 'IL1B', 'ANKRD1', 'CCL2', 'CHI3L1', 'HMOX1']",9.735684159570097,foldChange,0,Cellular response to cytokine stimulus ,20
secondary alcohol biosynthetic process (GO:1902653),1.0388363296629719e-07,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",6.9834528708484065,foldChange,0,Secondary alcohol biosynthetic process ,7
chemokine-mediated signaling pathway (GO:0070098),1.0388363296629719e-07,"['CXCL8', 'RBM15', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",6.9834528708484065,foldChange,0,Chemokine-mediated signaling pathway ,8
cholesterol biosynthetic process (GO:0006695),1.0388363296629719e-07,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",6.9834528708484065,foldChange,0,Cholesterol biosynthetic process ,7
response to interleukin-1 (GO:0070555),1.0388363296629719e-07,"['SFRP1', 'CXCL8', 'CCL8', 'CCL7', 'IL1R1', 'IL1B', 'ANKRD1', 'CHI3L1', 'CCL2']",6.9834528708484065,foldChange,0,Response to interleukin-1 ,9
cellular response to chemokine (GO:1990869),1.1934487214486556e-07,"['CXCL8', 'CCL8', 'CCL7', 'DUSP1', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",6.923196236456402,foldChange,0,Cellular response to chemokine ,8
sterol biosynthetic process (GO:0016126),1.2076170932446093e-07,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",6.918070748373954,foldChange,0,Sterol biosynthetic process ,7
cellular response to molecule of bacterial origin (GO:0071219),9.402119338425247e-07,"['CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",6.026774240736509,foldChange,0,Cellular response to molecule of bacterial origin ,9
cellular response to lipopolysaccharide (GO:0071222),1.2327045356277068e-06,"['CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.9091410060672525,foldChange,0,Cellular response to lipopolysaccharide ,9
cellular response to lipid (GO:0071396),1.5938888870465925e-06,"['SFRP1', 'CXCL8', 'INSIG1', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.797541957359287,foldChange,0,Cellular response to lipid ,11
regulation of primary metabolic process (GO:0080090),2.0507203041552023e-06,"['HELZ2', 'IDI1', 'HMGCS1', 'SCD', 'FASN', 'ODC1', 'DHCR7', 'HMGCR', 'LDLR']",5.688093568615176,foldChange,0,Regulation of primary metabolic process ,9
regulation of lipid metabolic process (GO:0019216),2.0507203041552023e-06,"['HELZ2', 'IDI1', 'HMGCS1', 'SCD', 'IL1B', 'FASN', 'HMGCR', 'DHCR7']",5.688093568615176,foldChange,0,Regulation of lipid metabolic process ,8
neutrophil chemotaxis (GO:0030593),5.754029029489151e-06,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.240027951393356,foldChange,0,Neutrophil chemotaxis ,7
cellular response to oxygen-containing compound (GO:1901701),6.746494191061164e-06,"['JUN', 'SFRP1', 'CXCL8', 'INSIG1', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.17092184924378,foldChange,0,Cellular response to oxygen-containing compound ,12
granulocyte chemotaxis (GO:0071621),6.746494191061164e-06,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.17092184924378,foldChange,0,Granulocyte chemotaxis ,7
cellular response to interleukin-1 (GO:0071347),6.746494191061164e-06,"['NFKBIA', 'SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'IL1R1', 'IL1B', 'ANKRD1', 'CCL2']",5.17092184924378,foldChange,0,Cellular response to interleukin-1 ,9
response to lipopolysaccharide (GO:0032496),7.85302391431681e-06,"['CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.104963080016159,foldChange,0,Response to lipopolysaccharide ,9
cholesterol metabolic process (GO:0008203),7.85302391431681e-06,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",5.104963080016159,foldChange,0,Cholesterol metabolic process ,7
neutrophil migration (GO:1990266),7.85302391431681e-06,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.104963080016159,foldChange,0,Neutrophil migration ,7
negative regulation of protein ubiquitination (GO:0031397),1.321591325896339e-05,"['DTX3L', 'TNFAIP3', 'ISG15', 'SOX4', 'HSPA1B', 'HSPA1A']",4.878902820453262,foldChange,0,Negative regulation of protein ubiquitination ,6
inflammatory response (GO:0006954),1.4597339613787782e-05,"['CCL8', 'CXCL8', 'CCL7', 'IL1B', 'CCL2', 'CHI3L1', 'PTX3', 'CXCL1', 'CXCL3', 'CXCL2']",4.835726287799888,foldChange,0,Inflammatory response ,10
negative regulation of cell population proliferation (GO:0008285),2.5315541097037647e-05,"['FABP3', 'SFRP1', 'CXCL8', 'IL1B', 'TNFAIP3', 'HMOX1', 'CXCL1', 'SOD2', 'HSPA1B', 'IFIT3', 'SOX4', 'HSPA1A']",4.596612785522007,foldChange,0,Negative regulation of cell population proliferation ,12
response to tumor necrosis factor (GO:0034612),7.571443381952062e-05,"['SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'ANKRD1', 'CCL2', 'CHI3L1']",4.120821320887877,foldChange,0,Response to tumor necrosis factor ,7
response to unfolded protein (GO:0006986),0.00024921075391640823,"['DDIT3', 'HSPA4L', 'HSPB3', 'HSPA1B', 'HSPA1A']",3.603433220978414,foldChange,0,Response to unfolded protein ,5
cellular response to tumor necrosis factor (GO:0071356),0.0003119577864631989,"['NFKBIA', 'SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'ANKRD1', 'CCL2', 'CHI3L1']",3.5059041699124514,foldChange,0,Cellular response to tumor necrosis factor ,8
negative regulation of protein modification by small protein conjugation or removal (GO:1903321),0.00041109664360192345,"['TNFAIP3', 'ISG15', 'SOX4', 'HSPA1B', 'HSPA1A']",3.3860560690019765,foldChange,0,Negative regulation of protein modification by small protein conjugation or removal ,5
negative regulation of multicellular organismal process (GO:0051241),0.0005933201010939051,"['SFRP1', 'GDF15', 'IL1B', 'DDIT3', 'ARRDC3', 'STC1', 'SPRY1', 'HMGCR']",3.2267109379489387,foldChange,0,Negative regulation of multicellular organismal process ,8
positive regulation of interleukin-8 production (GO:0032757),0.0006392116880325295,"['DDIT3', 'IL1B', 'CHI3L1', 'HSPA1B', 'HSPA1A']",3.1943552925150542,foldChange,0,Positive regulation of interleukin-8 production ,5
PERK-mediated unfolded protein response (GO:0036499),0.0008921842221870284,"['CXCL8', 'DDIT3', 'CCL2']",3.0495454612980546,foldChange,0,Perk-mediated unfolded protein response ,3
regulation of cell population proliferation (GO:0042127),0.0011693263791765615,"['CSF3', 'JUN', 'CXCL8', 'LIF', 'HMGB2', 'CXCL1', 'SOD2', 'IFIT3', 'FABP3', 'SFRP1', 'IL1B', 'HSPA1B', 'SOX4', 'HSPA1A']",2.9320642528314402,foldChange,0,Regulation of cell population proliferation ,14
response to molecule of bacterial origin (GO:0002237),0.0013948929962274434,"['CXCL8', 'IL1B', 'HMGB2', 'TNFAIP3', 'CXCL2']",2.8554591063189463,foldChange,0,Response to molecule of bacterial origin ,5
positive regulation of myeloid cell differentiation (GO:0045639),0.0014283564616246565,"['CSF3', 'HMGB2', 'HSPA1B', 'HSPA1A']",2.8451633962028198,foldChange,0,Positive regulation of myeloid cell differentiation ,4
positive regulation of cytokine production (GO:0001819),0.0018849459498962654,"['IL1R1', 'IL1B', 'DDIT3', 'CHI3L1', 'HMOX1', 'ISG15', 'PTGS2', 'HSPA1B', 'HSPA1A']",2.724701098507708,foldChange,0,Positive regulation of cytokine production ,9
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237),0.0019414506537986937,"['IL1B', 'TNFAIP3', 'HMOX1', 'HSPA1B', 'HSPA1A']",2.7118736435188002,foldChange,0,Negative regulation of extrinsic apoptotic signaling pathway ,5
positive regulation of acute inflammatory response (GO:0002675),0.0019414506537986937,"['IL1B', 'C2CD4A', 'PTGS2']",2.7118736435188002,foldChange,0,Positive regulation of acute inflammatory response ,3
integrated stress response signaling (GO:0140467),0.0019414506537986937,"['CXCL8', 'DDIT3', 'CCL2']",2.7118736435188002,foldChange,0,Integrated stress response signaling ,3
regulation of interleukin-8 production (GO:0032677),0.0019414506537986937,"['DDIT3', 'IL1B', 'CHI3L1', 'HSPA1B', 'HSPA1A']",2.7118736435188002,foldChange,0,Regulation of interleukin-8 production ,5
