gene,ev1,weight,rank
PSRC1,(0.12631658629771061+0j),0.12631658629771061,19393.0
UBE2C,(0.0680262184950832+0j),0.0680262184950832,19392.0
FAM72A,(0.06697423517498978+0j),0.06697423517498978,19391.0
KIF20A,(0.06516944679186554+0j),0.06516944679186554,19390.0
FAM72C,(0.06406604804470734+0j),0.06406604804470734,19389.0
GAS2L3,(0.0611485302097568+0j),0.0611485302097568,19388.0
CENPA,(0.05933730012479419+0j),0.05933730012479419,19387.0
TOP2A,(0.05644584346704364+0j),0.05644584346704364,19386.0
PLK1,(0.056412552333376755+0j),0.056412552333376755,19385.0
CDCA3,(0.05589951066112431+0j),0.05589951066112431,19384.0
ASPM,(0.0530994847835527+0j),0.0530994847835527,19383.0
DEPDC1,(0.05225472013867853+0j),0.05225472013867853,19382.0
FAM72B,(0.05172817012431005+0j),0.05172817012431005,19381.0
AURKA,(0.05165697278181287+0j),0.05165697278181287,19380.0
KIF23,(0.05079908203435974+0j),0.05079908203435974,19379.0
KIF14,(0.04907839055578981+0j),0.04907839055578981,19378.0
FAM72D,(0.048799399710196464+0j),0.048799399710196464,19377.0
ANLN,(0.04729659550826362+0j),0.04729659550826362,19376.0
CDC25C,(0.04726157881973336+0j),0.04726157881973336,19375.0
ERN2,(0.04657593812448672+0j),0.04657593812448672,19374.0
NDC80,(0.044731901107792627+0j),0.044731901107792627,19373.0
GNB3,(0.0433050877943539+0j),0.0433050877943539,19372.0
GTSE1,(0.04290596571499332+0j),0.04290596571499332,19371.0
HJURP,(0.041760848411599445+0j),0.041760848411599445,19370.0
IQGAP3,(0.0394717906264187+0j),0.0394717906264187,19369.0
CDCA2,(0.03922268080149687+0j),0.03922268080149687,19368.0
CDK1,(0.03911450379310058+0j),0.03911450379310058,19367.0
CKAP2L,(0.03907512191275125+0j),0.03907512191275125,19366.0
NEK2,(0.03764777222435181+0j),0.03764777222435181,19365.0
CDCA8,(0.03660126693920736+0j),0.03660126693920736,19364.0
FBXO43,(0.03626117137749626+0j),0.03626117137749626,19363.0
DLGAP5,(0.036234650260803386+0j),0.036234650260803386,19362.0
UNC13A,(0.03517667629717692+0j),0.03517667629717692,19361.0
DHRS2,(0.03490820757714984+0j),0.03490820757714984,19360.0
KIF2C,(0.03426831756348613+0j),0.03426831756348613,19359.0
ARHGAP11A,(0.03404689478024886+0j),0.03404689478024886,19358.0
NUF2,(0.03385851359311245+0j),0.03385851359311245,19357.0
TROAP,(0.03355346485617222+0j),0.03355346485617222,19356.0
TTK,(0.033279818505615996+0j),0.033279818505615996,19355.0
KPNA2,(0.033140536502706416+0j),0.033140536502706416,19354.0
SGO2,(0.03269611350721075+0j),0.03269611350721075,19353.0
AURKB,(0.03237551149382072+0j),0.03237551149382072,19352.0
RACGAP1,(0.03212860923681598+0j),0.03212860923681598,19351.0
INCENP,(0.03136846735080051+0j),0.03136846735080051,19350.0
SPC25,(0.03122548726777423+0j),0.03122548726777423,19349.0
HMMR,(0.031205768773263434+0j),0.031205768773263434,19348.0
TPX2,(0.031160660448523333+0j),0.031160660448523333,19347.0
DEPDC1B,(0.030694317596415353+0j),0.030694317596415353,19346.0
SKA1,(0.03007433642235127+0j),0.03007433642235127,19345.0
BUB1,(0.029996709505295475+0j),0.029996709505295475,19344.0
ECT2,(0.0297439513033755+0j),0.0297439513033755,19343.0
CCNB1,(0.029476605806300866+0j),0.029476605806300866,19342.0
CCNF,(0.029323502948764485+0j),0.029323502948764485,19341.0
KIF11,(0.028949802981017903+0j),0.028949802981017903,19340.0
BIRC5,(0.028456073796304267+0j),0.028456073796304267,19339.0
ARHGAP11B,(0.028102408449818667+0j),0.028102408449818667,19338.0
KIF18B,(0.02800518526055807+0j),0.02800518526055807,19337.0
LCE1E,(0.02723508329571907+0j),0.02723508329571907,19336.0
CDC20,(0.02699523266500372+0j),0.02699523266500372,19335.0
KIFC1,(0.026684255109974207+0j),0.026684255109974207,19334.0
SPAG5,(0.02659740898247587+0j),0.02659740898247587,19333.0
CCNA2,(0.026506622859399143+0j),0.026506622859399143,19332.0
KIF4A,(0.026124202498606183+0j),0.026124202498606183,19331.0
KNSTRN,(0.025903268643245332+0j),0.025903268643245332,19330.0
MYLK2,(0.025891860519095897+0j),0.025891860519095897,19329.0
CCNB2,(0.02566033458128509+0j),0.02566033458128509,19328.0
KIF4B,(0.0255704913642788+0j),0.0255704913642788,19327.0
PBK,(0.025550425886368303+0j),0.025550425886368303,19326.0
DRP2,(0.025535492729932472+0j),0.025535492729932472,19325.0
CENPI,(0.025231332577782407+0j),0.025231332577782407,19324.0
H2BC18,(0.02522731215310049+0j),0.02522731215310049,19323.0
ARHGAP19,(0.025182417733739398+0j),0.025182417733739398,19322.0
KNL1,(0.025151755361506007+0j),0.025151755361506007,19321.0
PIMREG,(0.024901702851013334+0j),0.024901702851013334,19320.0
NCAPG,(0.024626921276497387+0j),0.024626921276497387,19319.0
PRR11,(0.024562301234024118+0j),0.024562301234024118,19318.0
DIAPH3,(0.02441395571740025+0j),0.02441395571740025,19317.0
SORBS1,(0.02440592480906451+0j),0.02440592480906451,19316.0
BUB1B,(0.024300090029521885+0j),0.024300090029521885,19315.0
