,path_name,adj_p_val,overlapping_genes,mode
0,microtubule cytoskeleton organization involved in mitosis (GO:1902850),7.424180874119274e-38,"['ERCC6L', 'ZWILCH', 'BUB1B', 'CDCA8', 'TTK', 'KIF11', 'SKA1', 'AURKB', 'AURKA', 'NUP85', 'STMN1', 'NUF2', 'SPDL1', 'BUB1', 'DLGAP5', 'CENPT', 'STIL', 'NUDC', 'PLK1', 'KNL1', 'DYNLL1', 'RANGAP1', 'TUBG1', 'NDC80', 'ZWINT', 'SGO2', 'ESPL1', 'INCENP', 'CENPI', 'KIF4A', 'TACC3', 'BIRC5', 'KIF2C', 'CENPO', 'MAD2L1']",1
1,mitotic spindle organization (GO:0007052),8.07875262913526e-38,"['ERCC6L', 'ZWILCH', 'BUB1B', 'CDCA8', 'TTK', 'KIF11', 'SKA1', 'AURKB', 'AURKA', 'NUP85', 'STMN1', 'NUF2', 'SPDL1', 'BUB1', 'DLGAP5', 'CENPT', 'STIL', 'NUDC', 'PLK1', 'KIF23', 'KNL1', 'DYNLL1', 'RANGAP1', 'SMC1A', 'TUBG1', 'NDC80', 'ZWINT', 'SGO2', 'TPX2', 'INCENP', 'KIFC1', 'CENPI', 'KIF4A', 'BIRC5', 'KIF2C', 'CENPO', 'MAD2L1']",1
2,mitotic sister chromatid segregation (GO:0000070),5.97918306463537e-32,"['CDCA5', 'NCAPG2', 'KIF14', 'CDCA8', 'NCAPG', 'SMC4', 'NCAPH', 'SMC2', 'SPDL1', 'CEP55', 'DLGAP5', 'NUDC', 'SPAG5', 'PLK1', 'KIF23', 'KIF22', 'SMC1A', 'TUBG1', 'KNSTRN', 'NDC80', 'ZWINT', 'SGO2', 'KIF18B', 'ESPL1', 'KIFC1', 'CDK1', 'KIF2C', 'NCAPD2', 'NCAPD3']",1
3,sister chromatid segregation (GO:0000819),2.590691269464882e-19,"['TOP2A', 'SPAG5', 'NCAPG2', 'PLK1', 'CDCA8', 'SMC1A', 'TUBG1', 'SMC4', 'KNSTRN', 'NDC80', 'ZWINT', 'SGO2', 'KIF18B', 'ESPL1', 'KIFC1']",1
4,mitotic nuclear division (GO:0140014),4.600003334523744e-18,"['SPAG5', 'UBE2C', 'NCAPG2', 'PLK1', 'CDCA8', 'KIF11', 'SMC1A', 'TUBG1', 'SMC4', 'KNSTRN', 'NDC80', 'ZWINT', 'SGO2', 'TPX2', 'KIF18B', 'ESPL1', 'KIFC1', 'UBE2S']",1
5,regulation of mitotic cell cycle phase transition (GO:1901990),1.4736329656844525e-17,"['PLK4', 'HSP90AA1', 'UBE2C', 'TUBB', 'PLK1', 'KIF14', 'BUB1B', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'AURKA', 'ANLN', 'TPX2', 'PSMC3', 'UBE2S', 'PSMD2', 'CENPJ', 'CDK1', 'PSMD1', 'FBXO5', 'CDK5RAP2', 'CEP78', 'MAD2L1']",1
6,mitotic cell cycle phase transition (GO:0044772),2.2589616790091663e-15,"['PLK4', 'HSP90AA1', 'UBE2C', 'TUBB', 'CCNF', 'PLK1', 'TUBG1', 'DYNLL1', 'TUBB4B', 'PKMYT1', 'FOXM1', 'TUBA4A', 'AURKA', 'CCNA2', 'MELK', 'DBF4', 'UBE2S', 'CENPJ', 'TACC3', 'CDK1', 'POLE', 'CDK5RAP2', 'CEP78']",1
7,regulation of cell cycle G2/M phase transition (GO:1902749),3.291166576446101e-14,"['PLK4', 'HSP90AA1', 'TUBB', 'PLK1', 'KIF14', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'AURKA', 'TPX2', 'CENPJ', 'CDK1', 'GTSE1', 'CDK5RAP2', 'CEP78']",1
8,chromosome condensation (GO:0030261),4.6454642949507485e-14,"['TOP2A', 'CDCA5', 'NCAPG2', 'PLK1', 'NCAPG', 'SMC4', 'NCAPH', 'SMC2', 'H1-2', 'INCENP', 'CDK1', 'NCAPD2', 'NCAPD3']",1
9,regulation of cell cycle process (GO:0010564),5.059937863233413e-14,"['PLK4', 'SPAG5', 'PLK1', 'KIF11', 'MKI67', 'PKMYT1', 'KNSTRN', 'AURKB', 'AURKA', 'DBF4', 'RACGAP1', 'FBXO5', 'KIF20A', 'CEP85', 'KIF20B', 'ECT2', 'BUB1']",1
10,regulation of G2/M transition of mitotic cell cycle (GO:0010389),6.695094000235563e-14,"['PLK4', 'HSP90AA1', 'TUBB', 'PLK1', 'KIF14', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'AURKA', 'TPX2', 'PSMC3', 'PSMD2', 'CENPJ', 'CDK1', 'PSMD1', 'FBXO5', 'CDK5RAP2', 'CEP78']",1
11,mitotic cytokinesis (GO:0000281),1.2102616840423967e-13,"['PLK1', 'CKAP2', 'KIF23', 'CIT', 'ANLN', 'ESPL1', 'RACGAP1', 'INCENP', 'KIF4A', 'STMN1', 'KIF20A', 'ECT2', 'CEP55']",1
12,cytoskeleton-dependent cytokinesis (GO:0061640),9.817470324790842e-13,"['PLK1', 'CKAP2', 'KIF23', 'AURKB', 'CIT', 'ANLN', 'ESPL1', 'RACGAP1', 'INCENP', 'KIF4A', 'STMN1', 'KIF20A', 'ECT2', 'CEP55']",1
13,G2/M transition of mitotic cell cycle (GO:0000086),1.2243586633193615e-12,"['PLK4', 'HSP90AA1', 'TUBB', 'PLK1', 'PKMYT1', 'FOXM1', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'AURKA', 'CCNA2', 'MELK', 'CENPJ', 'CDK1', 'CDK5RAP2', 'CEP78']",1
14,cell cycle G2/M phase transition (GO:0044839),1.3017660289745503e-12,"['PLK4', 'HSP90AA1', 'TUBB', 'PLK1', 'PKMYT1', 'FOXM1', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'AURKA', 'CCNA2', 'MELK', 'CENPJ', 'CDK1', 'CDK5RAP2', 'CEP78']",1
15,mitotic chromosome condensation (GO:0007076),4.075894795013587e-12,"['CDCA5', 'NCAPG2', 'PLK1', 'CDK1', 'NCAPG', 'NCAPD2', 'NCAPD3', 'SMC4', 'NCAPH', 'SMC2']",1
16,DNA repair (GO:0006281),2.0475072114684813e-11,"['H2AX', 'FANCI', 'POLQ', 'FEN1', 'RFC3', 'LIG1', 'CDCA5', 'FANCA', 'SMC1A', 'TICRR', 'RECQL4', 'FAM111A', 'POLA1', 'EME1', 'FANCD2', 'POLD1', 'NSD2', 'CDK1', 'DNA2', 'KPNA2', 'POLE', 'POLH']",1
17,positive regulation of cell cycle process (GO:0090068),9.45118858683782e-11,"['PLK4', 'FEN1', 'SPAG5', 'KIF14', 'KIF23', 'NDC80', 'AURKB', 'CIT', 'AURKA', 'DBF4', 'RACGAP1', 'KIF20B', 'ECT2', 'MAD2L1']",1
18,mitotic metaphase plate congression (GO:0007080),1.5071276015469268e-10,"['NUDC', 'KIFC1', 'CDCA5', 'NUF2', 'KIF14', 'CDCA8', 'KIF2C', 'SPDL1', 'KIF22', 'CEP55', 'NDC80']",1
19,DNA metabolic process (GO:0006259),3.313533568997716e-10,"['TOP2A', 'POLQ', 'FEN1', 'RFC3', 'LIG1', 'FANCA', 'HMGB2', 'TYMS', 'SMC1A', 'TICRR', 'RECQL4', 'POLA1', 'DBF4', 'POLD1', 'POLE3', 'CDK1', 'DNA2', 'KPNA2', 'POLE', 'POLH']",1
20,protein localization to kinetochore (GO:0034501),1.5579172381006287e-09,"['CENPT', 'ZWILCH', 'CDK1', 'TTK', 'KNL1', 'SPDL1', 'AURKB']",1
21,regulation of mitotic cell cycle (GO:0007346),1.6389994679137994e-09,"['UBE2C', 'PLK1', 'BUB1B', 'SCRIB', 'MKI67', 'PKMYT1', 'PSMC3', 'UBE2S', 'PSMD2', 'CDK1', 'CKS2', 'PSMD1', 'FBXO5', 'KIF20B', 'DLGAP5', 'MAD2L1']",1
22,anaphase-promoting complex-dependent catabolic process (GO:0031145),2.1118303772561234e-09,"['PSMC3', 'UBE2C', 'UBE2S', 'PSMD2', 'PLK1', 'CDK1', 'BUB1B', 'PSMD1', 'FBXO5', 'AURKB', 'AURKA', 'MAD2L1']",1
23,DNA replication (GO:0006260),2.836780099117311e-09,"['PIF1', 'FEN1', 'RFC3', 'TICRR', 'RECQL4', 'FAM111A', 'POLA1', 'DBF4', 'POLD1', 'POLE3', 'CDK1', 'DNA2', 'POLE']",1
24,regulation of cell cycle phase transition (GO:1901987),8.211135130220013e-09,"['DBF4', 'PSMC3', 'UBE2C', 'UBE2S', 'PSMD2', 'PLK1', 'CDK1', 'BUB1B', 'PSMD1', 'FBXO5', 'GTSE1', 'MAD2L1']",1
25,ciliary basal body-plasma membrane docking (GO:0097711),8.211135130220013e-09,"['PLK4', 'HSP90AA1', 'TUBB', 'CENPJ', 'PLK1', 'CDK1', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'CDK5RAP2', 'CEP78']",1
26,DNA strand elongation involved in DNA replication (GO:0006271),1.0861856122549723e-08,"['GINS1', 'POLA1', 'RFC3', 'LIG1', 'GINS4', 'POLE3', 'POLE']",1
27,DNA-dependent DNA replication (GO:0006261),2.3146333011388012e-08,"['GINS1', 'RFC3', 'GINS4', 'RECQL4', 'POLA1', 'DBF4', 'PSMC3', 'PSMD2', 'POLD1', 'POLE3', 'PSMD1', 'DNA2', 'POLE']",1
28,regulation of cytokinesis (GO:0032465),2.8906137922494694e-08,"['PLK4', 'RACGAP1', 'PLK1', 'KIF14', 'KIF23', 'KIF20A', 'KIF20B', 'ECT2', 'AURKB', 'CIT', 'AURKA']",1
29,protein localization to condensed chromosome (GO:1903083),3.0543709687861026e-08,"['ZWILCH', 'CDK1', 'TTK', 'KNL1', 'SPDL1', 'AURKB']",1
30,negative regulation of mitotic metaphase/anaphase transition (GO:0045841),4.900985516929882e-08,"['PLK1', 'BUB1B', 'TTK', 'FBXO5', 'BUB1', 'ZWINT', 'MAD2L1']",1
31,DNA biosynthetic process (GO:0071897),3.567320035243076e-07,"['POLA1', 'RFC3', 'POLD1', 'TYMS', 'POLE', 'POLH']",1
32,"protein localization to chromosome, centromeric region (GO:0071459)",3.567320035243076e-07,"['ZWILCH', 'CDK1', 'TTK', 'KNL1', 'SPDL1', 'AURKB']",1
33,mitotic spindle assembly (GO:0090307),3.740272848084928e-07,"['TPX2', 'RACGAP1', 'KIFC1', 'KIF4A', 'KIF23', 'KIF11', 'SMC1A', 'AURKB']",1
34,establishment of mitotic spindle localization (GO:0040001),3.744165762520999e-07,"['ESPL1', 'SAPCD2', 'PLK1', 'SPDL1', 'NDC80', 'CDK5RAP2', 'MAD2L1']",1
35,spindle assembly checkpoint signaling (GO:0071173),1.3138034610637227e-06,"['PLK1', 'BUB1B', 'TTK', 'BUB1', 'ZWINT', 'MAD2L1']",1
36,mitotic spindle assembly checkpoint signaling (GO:0007094),1.3138034610637227e-06,"['PLK1', 'BUB1B', 'TTK', 'BUB1', 'ZWINT', 'MAD2L1']",1
37,mitotic spindle checkpoint signaling (GO:0071174),1.3138034610637227e-06,"['PLK1', 'BUB1B', 'TTK', 'BUB1', 'ZWINT', 'MAD2L1']",1
38,positive regulation of cytokinesis (GO:0032467),2.071453323925665e-06,"['RACGAP1', 'KIF14', 'KIF23', 'ECT2', 'KIF20B', 'AURKB', 'CIT']",1
39,establishment of mitotic spindle orientation (GO:0000132),3.019412974275984e-06,"['SAPCD2', 'PLK1', 'SPDL1', 'NDC80', 'CDK5RAP2', 'MAD2L1']",1
40,regulation of mitotic metaphase/anaphase transition (GO:0030071),4.955593983844636e-06,"['ESPL1', 'UBE2C', 'PLK1', 'FBXO5', 'DLGAP5', 'CDK5RAP2']",1
41,positive regulation of cell division (GO:0051781),6.748036917242921e-06,"['RACGAP1', 'KIF14', 'KIF23', 'ECT2', 'KIF20B', 'AURKB', 'CIT']",1
42,establishment of spindle orientation (GO:0051294),1.178719948400152e-05,"['SAPCD2', 'PLK1', 'SPDL1', 'NDC80', 'CDK5RAP2', 'MAD2L1']",1
43,base-excision repair (GO:0006284),1.196502651883934e-05,"['POLQ', 'FEN1', 'RFC3', 'LIG1', 'POLD1', 'DNA2', 'POLE']",1
44,cellular response to DNA damage stimulus (GO:0006974),1.2606585750358366e-05,"['TOP2A', 'H2AX', 'POLQ', 'FEN1', 'RFC3', 'LIG1', 'FANCA', 'SMC1A', 'TICRR', 'RECQL4', 'FAM111A', 'POLA1', 'POLD1', 'POLE3', 'CDK1', 'POLH']",1
45,antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),1.4901535008911185e-05,"['RACGAP1', 'KIF4A', 'AP2A1', 'KIF23', 'KIF2C', 'KIF11', 'KIF22', 'DYNLL1', 'KIF15']",1
46,mitotic spindle elongation (GO:0000022),1.53352293725273e-05,"['RACGAP1', 'KIF4A', 'KIF23', 'AURKB']",1
47,mitotic spindle midzone assembly (GO:0051256),1.53352293725273e-05,"['RACGAP1', 'KIF4A', 'KIF23', 'AURKB']",1
48,cellular macromolecule biosynthetic process (GO:0034645),1.53352293725273e-05,"['PIF1', 'FEN1', 'RFC3', 'TYMS', 'TICRR', 'RECQL4', 'FAM111A', 'POLA1', 'DBF4', 'POLD1', 'POLE3', 'CDK1', 'RPL26', 'DNA2', 'POLE']",1
49,antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),1.6289302212692754e-05,"['RACGAP1', 'KIF4A', 'AP2A1', 'KIF23', 'KIF2C', 'KIF11', 'KIF22', 'DYNLL1', 'KIF15']",1
50,double-strand break repair (GO:0006302),1.813285608663212e-05,"['H2AX', 'RECQL4', 'POLA1', 'POLQ', 'FEN1', 'EME1', 'CDCA5', 'NSD2', 'HMGB2', 'DNA2', 'KPNA2']",1
51,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),1.9064820135314705e-05,"['UBE2C', 'CCNF', 'PLK1', 'KIF14', 'BUB1B', 'AURKB', 'AURKA', 'UCHL1', 'PSMC3', 'UBE2S', 'PSMD2', 'CDK1', 'PSMD1', 'FBXO5', 'MAD2L1']",1
52,antigen processing and presentation of exogenous peptide antigen (GO:0002478),1.9758627454610472e-05,"['RACGAP1', 'KIF4A', 'AP2A1', 'KIF23', 'KIF2C', 'KIF11', 'KIF22', 'DYNLL1', 'KIF15']",1
53,chromosome organization (GO:0051276),2.4728776709410043e-05,"['TOP2A', 'CENPT', 'NUF2', 'POLE3', 'HMGB2', 'CDCA8', 'HMGN2', 'NDC80', 'PHF19']",1
